Influencer_Id;Post_Id;Post_URL;Number_of_comments
758052;141202700;http://www.vogue.com/13290253/cindy-crawford-island-house-canada/;-1
1145235;40258329;http://michellephan.com/10-best-inspirational-quotes-to-live-by/;23
880313;108124928;http://ohjoy.blogs.com/my_weblog/2015/04/happy-friday-6-months-with-coco.html;24
1162480;139899057;http://laurenconrad.com/blog/2015/08/friday-favorites-150/;22
746511;131113713;http://www.poppytalk.com/2015/07/sneak-peek-2016-ikea-cataloque-new.html;3
1051113;132324166;http://www.stylemepretty.com/2015/07/28/elegant-spring-austin-wedding/;3
915615;140760645;http://www.cutegirlshairstyles.com/hairstyles/time/10-15mins/easy-fold-up-braids-back-to-school-hairstyles/;1
1111991;133433228;http://www.tanyaburr.co.uk/?blog=blogs%2Farchive%2F2015%2F08%2F01%2Fsomething.very.exciting.aspx;139
942209;127377453;http://www.bforbonnie.com/home/2015/6/30/little-city-guide-with-gapkids;0
1438296;138812211;http://www.qtplace.com/scholl-velvet-smooth-video/;1
